epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1261.33,1.47791,2.08721,1.73764,0.36599,0.28903,0.28712,0.16157,1.58441,1.98256,1.61536,0.00332932,0.00332932,0.0700361
2,4015.97,1.27512,1.66081,1.55662,0.32606,0.31072,0.26388,0.15146,1.50005,1.92533,1.57908,0.00666103,0.00666103,0.0400345
3,6288.16,1.29953,1.67722,1.57834,0.27934,0.23222,0.1844,0.0957,1.8355,2.56519,1.90715,0.00998622,0.00998622,0.0100263
4,7806.57,1.32032,1.70386,1.59931,0.38549,0.29973,0.27763,0.15295,1.59834,1.95793,1.66627,0.00997803,0.00997803,0.00997803
5,10714.4,1.27021,1.62582,1.56301,0.34812,0.35331,0.31305,0.17714,1.51947,1.9544,1.63046,0.00996097,0.00996097,0.00996097
6,13446.9,1.22541,1.56912,1.53047,0.38685,0.3656,0.3412,0.19633,1.46415,1.78349,1.58606,0.00993906,0.00993906,0.00993906
7,15380.6,1.20437,1.52252,1.50824,0.39694,0.37339,0.34989,0.1967,1.45127,1.79297,1.59024,0.00991232,0.00991232,0.00991232
8,17418.2,1.16842,1.46921,1.48403,0.38381,0.39006,0.36556,0.20886,1.43882,1.72159,1.54471,0.00988079,0.00988079,0.00988079
9,22705.9,1.14421,1.42773,1.4638,0.39542,0.40184,0.35955,0.20767,1.44561,1.76776,1.56766,0.00984449,0.00984449,0.00984449
10,26005.2,1.12093,1.38427,1.44538,0.45359,0.37012,0.36555,0.21461,1.43446,1.85876,1.57059,0.00980345,0.00980345,0.00980345
11,27822,1.09872,1.34439,1.42673,0.43203,0.41439,0.3827,0.22754,1.38746,1.68073,1.51929,0.00975773,0.00975773,0.00975773
12,29727.3,1.07749,1.3094,1.40795,0.4645,0.41399,0.41301,0.25181,1.34655,1.60907,1.50401,0.00970736,0.00970736,0.00970736
13,32932.8,1.05747,1.27078,1.39283,0.45731,0.39842,0.3979,0.2367,1.37028,1.71561,1.51843,0.00965239,0.00965239,0.00965239
14,34626,1.04165,1.23712,1.37765,0.44264,0.41192,0.38092,0.23083,1.36505,1.72655,1.52459,0.00959289,0.00959289,0.00959289
15,1446.82,1.02429,1.20106,1.3642,0.43673,0.39232,0.37485,0.22658,1.41366,1.75203,1.56221,0.00952889,0.00952889,0.00952889
